排名,电影名,描述,评分,总评论数
1,肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...                            1994 / 美国 / 犯罪 剧情,9.6,904086人评价
2,霸王别姬,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...                            1993 / 中国大陆 香港 / 剧情 爱情 同性,9.5,651670人评价
3,这个杀手不太冷,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...                            1994 / 法国 / 剧情 动作 犯罪,9.4,860607人评价
4,阿甘正传,导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise                            1994 / 美国 / 剧情 爱情,9.4,732292人评价
5,美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...                            1997 / 意大利 / 剧情 喜剧 爱情 战争,9.5,427609人评价
6,千与千寻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...                            2001 / 日本 / 剧情 动画 奇幻,9.2,683052人评价
7,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...                            1993 / 美国 / 剧情 历史 战争,9.4,393353人评价
8,泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...                            1997 / 美国 / 剧情 爱情 灾难,9.2,673567人评价
9,盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...                            2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险,9.2,782834人评价
10,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...                            2008 / 美国 / 喜剧 爱情 科幻 动画 冒险,9.3,510868人评价
11,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...                            1998 / 意大利 / 剧情 音乐,9.2,612514人评价
12,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...                            2009 / 印度 / 剧情 喜剧 爱情 歌舞,9.1,692609人评价
13,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...                            2009 / 美国 英国 / 剧情,9.2,470023人评价
14,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...                            2004 / 法国 瑞士 德国 / 剧情 音乐,9.2,465268人评价
15,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...                            1995 / 香港 中国大陆 / 动作 冒险 喜剧 奇幻 爱情,9.2,503058人评价
16,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...                            1972 / 美国 / 剧情 犯罪,9.2,352739人评价
17,龙猫,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...                            1988 / 日本 / 儿童 动画 奇幻 家庭,9.1,429433人评价
18,楚门的世界,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...                            1998 / 美国 / 剧情 科幻,9.1,470371人评价
19,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托...                            1939 / 美国 / 剧情 历史 爱情 战争,9.2,277235人评价
20,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...                            1988 / 意大利 法国 / 剧情 爱情,9.1,316186人评价
21,触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...                            2011 / 法国 / 剧情 喜剧,9.1,375302人评价
22,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...                            2006 / 美国 / 剧情 传记 家庭,8.9,552511人评价
23,熔炉,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...                            2011 / 韩国 / 剧情,9.2,262800人评价
24,无间道,导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生                            2002 / 香港 / 剧情 犯罪 悬疑,9.0,411169人评价
25,搏击俱乐部,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,9.0,411495人评价
26,十二怒汉,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...                            1957 / 美国 / 剧情,9.4,175767人评价
27,星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...                            2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险,9.1,498870人评价
28,怦然心动,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...                            2010 / 美国 / 剧情 喜剧 爱情,8.9,563518人评价
29,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.1,290662人评价
30,少年派的奇幻漂流,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...                            2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险,9.0,590858人评价
31,天空之城,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...                            1986 / 日本 / 动画 奇幻 冒险,9.0,340132人评价
32,鬼子来了,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...                            2000 / 中国大陆 / 剧情 战争,9.2,234478人评价
33,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,9.0,329272人评价
34,罗马假日,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...                            1953 / 美国 / 喜剧 剧情 爱情,8.9,393531人评价
35,活着,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang                            1994 / 中国大陆 香港 / 剧情 历史 家庭,9.1,274380人评价
36,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...                            1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装,8.9,406132人评价
37,两杆大烟枪,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran                            1998 / 英国 / 剧情 喜剧 犯罪,9.0,278252人评价
38,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...                            2009 / 美国 / 剧情 喜剧 动画 冒险,8.9,506661人评价
39,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...                            2006 / 德国 / 剧情 悬疑,9.1,227547人评价
40,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...                            1975 / 美国 / 剧情,9.0,282005人评价
41,海豚湾,导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...                            2009 / 美国 / 纪录片,9.3,184247人评价
42,闻香识女人,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...                            1992 / 美国 / 剧情,8.9,327250人评价
